Name;Role;Team
birdfromsky;IGL;00NATION
JDC;Support;00NATION
niko;Lurker;00NATION
susp;Entry;00NATION
syrsoN;AWP;00NATION
Boombl4;IGL;1WIN
deko;AWP;1WIN
Forester;Rifler;1WIN
NickelBack;Rifler;1WIN
TRAVIS;Rifler;1WIN
Goofy;Rifler;9INE
hades;AWP;9INE
KEi;Entry;9INE
Kylar;Rifler;9INE
mynio;IGL;9INE
buda;Entry;9z
dgt;Lurker;9z
HUASOPEEK;Support;9z
max;IGL;9z
try;AWP;9z
CacaNito;Rifler;Apeks
jkaem;Entry;Apeks
kyxsan;IGL;Apeks
nawwk;AWP;Apeks
sense;IGL;Apeks
STYKO;Rifler;Apeks
b0RUP;Support;Astralis
blameF;IGL;Astralis
Buzz;Entry;Astralis
device;AWP;Astralis
Staehr;Rifler;Astralis
danistzz;Rifler;BetBoom
KaiR0N-;Rifler;BetBoom
nafany;IGL;BetBoom
s1ren;Rifler;BetBoom
zorte;AWP;BetBoom
Krimbo;Lurker;BIG
mantuu;AWP;BIG
prosus;Entry;BIG
s1n;Support;BIG
tabseN;IGL;BIG
Aida;IGL;BIG EQUIPA
D7;Rifler;BIG EQUIPA
JennyR;Rifler;BIG EQUIPA
pauliiee;Rifler;BIG EQUIPA
Zana;AWP;BIG EQUIPA
Ax1Le;Rifler;Cloud9
electroNic;Entry;Cloud9
HObbit;IGL;Cloud9
Perfecto;Rifler;Cloud9
sh1ro;AWP;Cloud9
EliGE;Rifler;Complexity
FaNg;Entry;Complexity
floppy;Rifler;Complexity
Grim;Entry;Complexity
hallzerk;AWP;Complexity
JT;IGL;Complexity
dycha;Rifler;ENCE
Maden;Entry;ENCE
NertZ;Rifler;ENCE
Snappi;IGL;ENCE
SunPayus;AWP;ENCE
Calyx;Support;Eternal Fire
MAJ3R;IGL;Eternal Fire
Wicadia;Rifler;Eternal Fire
woxic;AWP;Eternal Fire
XANTARES;Rifler;Eternal Fire
autimatic;Rifler;Evil Geniuses
HexT;Entry;Evil Geniuses
Jeorge;Rifler;Evil Geniuses
junior;AWP;Evil Geniuses
Walco;IGL;Evil Geniuses
HEAP;Lurker;EYEBALLERS
JW;AWP;EYEBALLERS
Peppzor;Support;EYEBALLERS
Sapec;Entry;EYEBALLERS
SHiNE;IGL;EYEBALLERS
broky;AWP;FaZe
karrigan;IGL;FaZe
olofmeister;Lurker;FaZe
rain;Support;FaZe
ropz;Lurker;FaZe
Twistzz;Entry;FaZe
afro;AWP;fnatic
dexter;IGL;fnatic
KRIMZ;Support;fnatic
mezii;Lurker;fnatic
roeJ;Entry;fnatic
arT;Entry;FURIA
chelo;Entry;FURIA
FalleN;AWP;FURIA
KSCERATO;Rifler;FURIA
yuurih;Rifler;FURIA
HooXi;IGL;G2
huNter-;Lurker;G2
jks;Support;G2
m0NESY;AWP;G2
NiKo;Entry;G2
acoR;AWP;GamerLegion
isak;Support;GamerLegion
Keoz;Rifler;GamerLegion
Snax;IGL;GamerLegion
volt;Rifler;GamerLegion
aliStair;AWP;Grayhound
INS;IGL;Grayhound
Liazz;Lurker;Grayhound
Sico;Rifler;Grayhound
Vexite;Rifler;Grayhound
cadiaN;IGL;Heroic
jabbi;Lurker;Heroic
sjuush;Support;Heroic
stavn;Rifler;Heroic
TeSeS;Entry;Heroic
coldzera;Lurker;Legacy
NAF;Rifler;Liquid
oSee;AWP;Liquid
Patsi;Rifler;Liquid
Rainwaker;Rifler;Liquid
YEKINDAR;IGL;Liquid
EmiliaQAQ;Rifler;Lynn Vision
Jee;AWP;Lynn Vision
Starry;Rifler;Lynn Vision
Westmelon;IGL;Lynn Vision
z4kr;Entry;Lynn Vision
brnz4n;Rifler;MIBR
drop;Rifler;MIBR
exit;IGL;MIBR
insani;Rifler;MIBR
saffee;AWP;MIBR
br0;Rifler;Monte
DemQQ;Rifler;Monte
kRaSnaL;Rifler;Monte
sdy;IGL;Monte
Woro2k;AWP;Monte
frozen;Rifler;MOUZ
Jimpphat;Rifler;MOUZ
siuhy;IGL;MOUZ
torzsi;AWP;MOUZ
xertioN;Entry;MOUZ
adamS;Lurker;Movistar Riders
alex;IGL;Movistar Riders
JUST;Support;Movistar Riders
Martinez;AWP;Movistar Riders
mopoz;Entry;Movistar Riders
Aleksib;IGL;Natus Vincere
b1t;Support;Natus Vincere
iM;Entry;Natus Vincere
jL;Lurker;Natus Vincere
s1mple;AWP;Natus Vincere
Brollan;Entry;Ninjas in Pyjamas
hampus;IGL;Ninjas in Pyjamas
headtr1ck;AWP;Ninjas in Pyjamas
k0nfig;Entry;Ninjas in Pyjamas
REZ;Rifler;Ninjas in Pyjamas
ArtFr0st;AWP;Spirit
chopper;IGL;Spirit
donk;Rifler;Spirit
magixx;Lurker;Spirit
zont1x;Rifler;Spirit
advent;IGL;TYLOO
JamYoung;Rifler;TYLOO
kaze;AWP;TYLOO
Mercury;Rifler;TYLOO
Moseyuh;Rifler;TYLOO
fame;Rifler;Virtus.pro
FL1T;Lurker;Virtus.pro
Jame;AWP;Virtus.pro
mir;Rifler;Virtus.pro
n0rb3r7;Rifler;Virtus.pro
Spinx;Lurker;Vitality
apEX;IGL;Vitality
flameZ;Entry;Vitality
Magisk;Support;Vitality
ZywOo;AWP;Vitality
